id,url,domain,category,priority,enabled
new-0001,https://akamai.net/,akamai.net,ranked-new-corpus,999992,true
new-0002,https://mail.ru/,mail.ru,ranked-new-corpus,999988,true
new-0003,https://dzen.ru/,dzen.ru,ranked-new-corpus,999984,true
new-0004,https://domaincontrol.com/,domaincontrol.com,ranked-new-corpus,999981,true
new-0005,https://akamaiedge.net/,akamaiedge.net,ranked-new-corpus,999977,true
new-0006,https://akadns.net/,akadns.net,ranked-new-corpus,999974,true
new-0007,https://gtld-servers.net/,gtld-servers.net,ranked-new-corpus,999973,true
new-0008,https://trafficmanager.net/,trafficmanager.net,ranked-new-corpus,999958,true
new-0009,https://gandi.net/,gandi.net,ranked-new-corpus,999956,true
new-0010,https://youtu.be/,youtu.be,ranked-new-corpus,999955,true
new-0011,https://wordpress.org/,wordpress.org,ranked-new-corpus,999952,true
new-0012,https://x.com/,x.com,ranked-new-corpus,999950,true
new-0013,https://cloudfront.net/,cloudfront.net,ranked-new-corpus,999948,true
new-0014,https://goo.gl/,goo.gl,ranked-new-corpus,999947,true
new-0015,https://googledomains.com/,googledomains.com,ranked-new-corpus,999943,true
new-0016,https://cloudflare.net/,cloudflare.net,ranked-new-corpus,999942,true
new-0017,https://pv-cdn.net/,pv-cdn.net,ranked-new-corpus,999936,true
new-0018,https://wa.me/,wa.me,ranked-new-corpus,999930,true
new-0019,https://myfritz.net/,myfritz.net,ranked-new-corpus,999929,true
new-0020,https://nginx.org/,nginx.org,ranked-new-corpus,999928,true
new-0021,https://workers.dev/,workers.dev,ranked-new-corpus,999923,true
new-0022,https://akam.net/,akam.net,ranked-new-corpus,999921,true
new-0023,https://root-servers.net/,root-servers.net,ranked-new-corpus,999918,true
new-0024,https://edgekey.net/,edgekey.net,ranked-new-corpus,999917,true
new-0025,https://blogspot.com/,blogspot.com,ranked-new-corpus,999906,true
new-0026,https://nginx.com/,nginx.com,ranked-new-corpus,999904,true
new-0027,https://edgesuite.net/,edgesuite.net,ranked-new-corpus,999902,true
new-0028,https://capgemini.com/,capgemini.com,ranked-new-corpus,999900,true
new-0029,https://wordpress.com/,wordpress.com,ranked-new-corpus,999899,true
new-0030,https://achmea.nl/,achmea.nl,ranked-new-corpus,999898,true
new-0031,https://actify.nl/,actify.nl,ranked-new-corpus,999897,true
new-0032,https://t.me/,t.me,ranked-new-corpus,999896,true
new-0033,https://f5.com/,f5.com,ranked-new-corpus,999895,true
new-0034,https://ui.com/,ui.com,ranked-new-corpus,999891,true
new-0035,https://nic.ru/,nic.ru,ranked-new-corpus,999890,true
new-0036,https://aws.dev/,aws.dev,ranked-new-corpus,999888,true
new-0037,https://yccdn.ru/,yccdn.ru,ranked-new-corpus,999887,true
new-0038,https://europa.eu/,europa.eu,ranked-new-corpus,999885,true
new-0039,https://bit.ly/,bit.ly,ranked-new-corpus,999884,true
new-0040,https://okcdn.ru/,okcdn.ru,ranked-new-corpus,999882,true
new-0041,https://github.io/,github.io,ranked-new-corpus,999881,true
new-0042,https://registrar-servers.com/,registrar-servers.com,ranked-new-corpus,999878,true
new-0043,https://vk.com/,vk.com,ranked-new-corpus,999877,true
new-0044,https://afternic.com/,afternic.com,ranked-new-corpus,999874,true
new-0045,https://apache.org/,apache.org,ranked-new-corpus,999872,true
new-0046,https://trbcdn.net/,trbcdn.net,ranked-new-corpus,999869,true
new-0047,https://dnsowl.com/,dnsowl.com,ranked-new-corpus,999866,true
new-0048,https://vkuserphoto.ru/,vkuserphoto.ru,ranked-new-corpus,999865,true
new-0049,https://intuit.com/,intuit.com,ranked-new-corpus,999864,true
new-0050,https://kaspersky.com/,kaspersky.com,ranked-new-corpus,999861,true
new-0051,https://nih.gov/,nih.gov,ranked-new-corpus,999860,true
new-0052,https://iiko.it/,iiko.it,ranked-new-corpus,999858,true
new-0053,https://miit.gov.cn/,miit.gov.cn,ranked-new-corpus,999856,true
new-0054,https://reg.ru/,reg.ru,ranked-new-corpus,999854,true
new-0055,https://azurefd.net/,azurefd.net,ranked-new-corpus,999853,true
new-0056,https://forms.gle/,forms.gle,ranked-new-corpus,999852,true
new-0057,https://archive.org/,archive.org,ranked-new-corpus,999850,true
new-0058,https://steamserver.net/,steamserver.net,ranked-new-corpus,999847,true
new-0059,https://one.one/,one.one,ranked-new-corpus,999846,true
new-0060,https://nytimes.com/,nytimes.com,ranked-new-corpus,999845,true
new-0061,https://tumblr.com/,tumblr.com,ranked-new-corpus,999841,true
new-0062,https://jomodns.com/,jomodns.com,ranked-new-corpus,999838,true
new-0063,https://vedcdnlb.com/,vedcdnlb.com,ranked-new-corpus,999835,true
new-0064,https://dns-parking.com/,dns-parking.com,ranked-new-corpus,999832,true
new-0065,https://example.com/,example.com,ranked-new-corpus,999828,true
new-0066,https://azurewebsites.net/,azurewebsites.net,ranked-new-corpus,999825,true
new-0067,https://vk.ru/,vk.ru,ranked-new-corpus,999824,true
new-0068,https://mts.ru/,mts.ru,ranked-new-corpus,999823,true
new-0069,https://soundcloud.com/,soundcloud.com,ranked-new-corpus,999821,true
new-0070,https://macromedia.com/,macromedia.com,ranked-new-corpus,999819,true
new-0071,https://flickr.com/,flickr.com,ranked-new-corpus,999818,true
new-0072,https://namebrightdns.com/,namebrightdns.com,ranked-new-corpus,999817,true
new-0073,https://telekom.net/,telekom.net,ranked-new-corpus,999815,true
new-0074,https://w3.org/,w3.org,ranked-new-corpus,999813,true
new-0075,https://bytefcdn-oversea.com/,bytefcdn-oversea.com,ranked-new-corpus,999812,true
new-0076,https://hichina.com/,hichina.com,ranked-new-corpus,999810,true
new-0077,https://creativecommons.org/,creativecommons.org,ranked-new-corpus,999807,true
new-0078,https://medium.com/,medium.com,ranked-new-corpus,999806,true
new-0079,https://cnn.com/,cnn.com,ranked-new-corpus,999804,true
new-0080,https://theguardian.com/,theguardian.com,ranked-new-corpus,999802,true
new-0081,https://shifen.com/,shifen.com,ranked-new-corpus,999797,true
new-0082,https://pages.dev/,pages.dev,ranked-new-corpus,999796,true
new-0083,https://doi.org/,doi.org,ranked-new-corpus,999795,true
new-0084,https://t-online.de/,t-online.de,ranked-new-corpus,999794,true
new-0085,https://ksyuncdn.com/,ksyuncdn.com,ranked-new-corpus,999793,true
new-0086,https://forbes.com/,forbes.com,ranked-new-corpus,999792,true
new-0087,https://bbc.com/,bbc.com,ranked-new-corpus,999790,true
new-0088,https://duckdns.org/,duckdns.org,ranked-new-corpus,999789,true
new-0089,https://playstation.net/,playstation.net,ranked-new-corpus,999786,true
new-0090,https://ack.de/,ack.de,ranked-new-corpus,999785,true
new-0091,https://sciencedirect.com/,sciencedirect.com,ranked-new-corpus,999784,true
new-0092,https://fastly-edge.com/,fastly-edge.com,ranked-new-corpus,999783,true
new-0093,https://twitch.tv/,twitch.tv,ranked-new-corpus,999782,true
new-0094,https://mit.edu/,mit.edu,ranked-new-corpus,999781,true
new-0095,https://researchgate.net/,researchgate.net,ranked-new-corpus,999779,true
new-0096,https://ebay.com/,ebay.com,ranked-new-corpus,999778,true
new-0097,https://cdngslb.com/,cdngslb.com,ranked-new-corpus,999776,true
new-0098,https://akamaized.net/,akamaized.net,ranked-new-corpus,999775,true
new-0099,https://userapi.com/,userapi.com,ranked-new-corpus,999774,true
new-0100,https://ozon.ru/,ozon.ru,ranked-new-corpus,999773,true
new-0101,https://bbc.co.uk/,bbc.co.uk,ranked-new-corpus,999771,true
new-0102,https://ubuntu.com/,ubuntu.com,ranked-new-corpus,999770,true
new-0103,https://azureedge.net/,azureedge.net,ranked-new-corpus,999768,true
new-0104,https://cpanel.net/,cpanel.net,ranked-new-corpus,999767,true
new-0105,https://etsy.com/,etsy.com,ranked-new-corpus,999765,true
new-0106,https://comcast.net/,comcast.net,ranked-new-corpus,999762,true
new-0107,https://imcmdb.net/,imcmdb.net,ranked-new-corpus,999761,true
new-0108,https://wsdvs.com/,wsdvs.com,ranked-new-corpus,999760,true
new-0109,https://sourceforge.net/,sourceforge.net,ranked-new-corpus,999758,true
new-0110,https://rbxcdn.com/,rbxcdn.com,ranked-new-corpus,999757,true
new-0111,https://ailawandorder.com/,ailawandorder.com,ranked-new-corpus,999751,true
new-0112,https://ripn.net/,ripn.net,ranked-new-corpus,999750,true
new-0113,https://telegram.org/,telegram.org,ranked-new-corpus,999749,true
new-0114,https://roku.com/,roku.com,ranked-new-corpus,999748,true
new-0115,https://booking.com/,booking.com,ranked-new-corpus,999744,true
new-0116,https://alibabadns.com/,alibabadns.com,ranked-new-corpus,999741,true
new-0117,https://name-services.com/,name-services.com,ranked-new-corpus,999740,true
new-0118,https://imdb.com/,imdb.com,ranked-new-corpus,999738,true
new-0119,https://who.int/,who.int,ranked-new-corpus,999737,true
new-0120,https://alidns.com/,alidns.com,ranked-new-corpus,999736,true
new-0121,https://wixsite.com/,wixsite.com,ranked-new-corpus,999734,true
new-0122,https://launchpad.net/,launchpad.net,ranked-new-corpus,999733,true
new-0123,https://linktr.ee/,linktr.ee,ranked-new-corpus,999732,true
new-0124,https://ttvnw.net/,ttvnw.net,ranked-new-corpus,999731,true
new-0125,https://yandexcloud.net/,yandexcloud.net,ranked-new-corpus,999729,true
new-0126,https://ibm.com/,ibm.com,ranked-new-corpus,999728,true
new-0127,https://telecid.ru/,telecid.ru,ranked-new-corpus,999726,true
new-0128,https://mangosip.ru/,mangosip.ru,ranked-new-corpus,999725,true
new-0129,https://amon.tech/,amon.tech,ranked-new-corpus,999724,true
new-0130,https://spov-msedge.net/,spov-msedge.net,ranked-new-corpus,999722,true
new-0131,https://reuters.com/,reuters.com,ranked-new-corpus,999721,true
new-0132,https://aliyuncsslbintl.com/,aliyuncsslbintl.com,ranked-new-corpus,999720,true
new-0133,https://springer.com/,springer.com,ranked-new-corpus,999718,true
new-0134,https://tinyurl.com/,tinyurl.com,ranked-new-corpus,999716,true
new-0135,https://telegram.me/,telegram.me,ranked-new-corpus,999714,true
new-0136,https://arubanetworks.com/,arubanetworks.com,ranked-new-corpus,999713,true
